Date,Open,High,Low,Close,Volume,Turnover (Rs. Cr)
2015-04-27,11166.4,11170.5,10941.75,11097.9,25778777,2148.64
2015-04-28,11097.2,11097.2,10979.2,11052.95,21748906,1830.24
2015-04-29,11039,11150.55,10954,11094.4,21642220,1543.63
2015-04-30,11056.5,11056.5,10916.65,11001.05,44619697,2474.25
2015-05-04,11087.5,11217.2,11044.25,11191.45,24105159,1583.03
2015-05-05,11252.3,11264.35,11115.5,11170.25,23245719,1664.94
2015-05-06,11186.35,11191.7,10921.75,10938.85,21427168,1794.39
2015-05-07,10934.8,11172.15,10900.9,11127.75,20232917,1444.4
2015-05-08,11209.15,11268.6,11134.2,11172.05,14833619,1240.63
2015-05-11,11225.15,11351.05,11184.65,11324.55,16210415,1373.33
2015-05-12,11337.7,11337.7,11101.25,11118.45,15553985,1322.44
2015-05-13,11168.7,11225.55,11040.55,11170.5,15567676,1259.48
2015-05-14,11185.6,11185.6,11021.85,11093.6,11405303,932.87
2015-05-15,11109.7,11208.2,11099.2,11171.9,13739827,1018.8
2015-05-18,11200.4,11294.45,11147.15,11279.45,15340671,1432.31
2015-05-19,11264.8,11425.15,11260.2,11372.2,18508134,1543.78
2015-05-20,11438.7,11583.05,11438.7,11571.7,16636054,1384.21
2015-05-21,11589,11638.1,11572.6,11618.6,14274561,1375.19
2015-05-22,11584.7,11745.75,11562.5,11728.4,15469572,1465.39
2015-05-25,11740.75,11784.35,11602.1,11623.35,12204690,965.65
2015-05-26,11608.75,11649.7,11562.05,11581.9,11485852,986.26
2015-05-27,11481.45,11481.45,11338.05,11367.5,34196705,2348.01
2015-05-28,11368,11483.75,11321.65,11450.85,25687562,2189.98
2015-05-29,11443.1,11647.05,11411.15,11575.05,21994515,2683.79
2015-06-01,11561.9,11629.55,11496.05,11525.65,6488920,763.19
2015-06-02,11523.85,11563.95,11326.7,11347.9,8320203,1130.13
2015-06-03,11383.1,11421.55,11299.75,11361.1,10771997,1126.33
2015-06-04,11375.85,11455.9,11331.85,11379.2,10994711,1416.29
2015-06-05,11376.45,11444,11282.3,11291.55,9222361,1143.12
2015-06-08,11302.75,11303.6,11196.5,11238.6,7174359,875.88
2015-06-09,11235.3,11254.45,11114.3,11142.95,9772047,1145.75
2015-06-10,11145.4,11423.75,11136.4,11401.7,10375358,1241.37
2015-06-11,11420,11444.75,11213.4,11227.15,9863136,1184.66
2015-06-12,11222.8,11267,10930.45,11049.35,10397130,1296.6
2015-06-15,11022.7,11170.05,10933.4,11093.85,7860544,847.6
2015-06-16,11111.8,11135.25,11046,11119.2,7153751,686.62
2015-06-17,11181.9,11221.15,11114.35,11143.5,9431119,968.49
2015-06-18,11191.75,11259.15,11164.1,11215.35,9612244,907.68
2015-06-19,11260.9,11353.25,11222.25,11243.65,14338486,1252.65
2015-06-22,11266.9,11446.8,11260.95,11429.8,8220207,760.04
2015-06-23,11473,11479.6,11327.2,11341.15,7753653,775.82
2015-06-24,11400.35,11409.75,11324.35,11353.75,11817301,1064.52
2015-06-25,11332.45,11332.7,11188.55,11210.4,14616477,1278.97
2015-06-26,11238.8,11388.45,11238.8,11362.55,9837711,892.03
2015-06-29,11181.25,11230.2,10998.2,11133.65,17798757,1267.3
2015-06-30,11101.6,11144.2,11016.75,11037.4,20432617,1445.68
2015-07-01,11053.65,11239.75,11053.65,11213.6,11203755,947.64
2015-07-02,11246.5,11247.5,11161.3,11187.25,7915388,735.47
2015-07-03,11162.9,11214.65,11135,11198.65,6793457,574.51
2015-07-06,11079.2,11239,11072.55,11209.6,7684659,679.44
2015-07-07,11216.55,11264.55,11126.2,11143.85,8057280,752.46
2015-07-08,11079.95,11143.9,10980.05,11021.8,10958051,1074.27
2015-07-09,11043.65,11065.4,10808.35,10828.7,11055212,1229.98
2015-07-10,10950.25,10950.25,10759.85,10798.25,12483008,1694.45
2015-07-13,10840.65,11011.65,10840.65,10998.85,9446174,947.51
2015-07-14,11024.4,11067.55,10945.05,11043.85,7884734,775.63
2015-07-15,11050.5,11165.5,11050.5,11150.25,8269479,822.34
2015-07-16,11191.15,11218.75,11123.15,11191.6,8500008,789.05
2015-07-17,11239.7,11306.4,11227.4,11269.2,10570702,876.07
2015-07-20,11270.4,11307.9,11197.85,11266.95,8618661,764.73
2015-07-21,11366.6,11798.2,11366.6,11655.45,27720978,2837.6
2015-07-22,11647.5,11687.2,11509.15,11643.75,11766775,1206.52
2015-07-23,11640.65,11719.05,11537.7,11558.7,11732414,1157.19
2015-07-24,11568.85,11588.9,11452.25,11464.15,9525365,880.71
2015-07-27,11437.55,11438,11342.5,11362.45,12162185,1144.41
2015-07-28,11378.8,11432.45,11283.7,11306.25,15300982,1325.79
2015-07-29,11369.45,11494.85,11330.65,11470.7,10386211,1100.63
2015-07-30,11530.3,11539.45,11365.05,11394.55,17524742,1662.37
2015-07-31,11434.9,11622.2,11434.9,11594.15,10516985,1126.64
2015-08-03,11490.6,11572.6,11441.5,11466.4,10341354,1101.2
2015-08-04,11480.7,11489.15,11379.15,11415.55,11885605,1251.43
2015-08-05,11470.2,11632.2,11460,11618,8826022,819.15
2015-08-06,11698.9,11739.1,11576.25,11616.5,9179852,1020.63
